GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4.modules,ReductionBDefinition,568,0,0,0,89,0,17,0,17,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4.modules,InceptionV4TailDefinition,103,0,0,0,23,0,9,0,9,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4.modules,ReductionADefinition,400,0,0,0,61,0,13,0,13,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4.modules,InceptionV4StemDefinition,1083,0,0,0,206,0,27,0,27,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4.modules,InceptionADefinition,1150,0,0,0,103,0,18,0,18,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4.modules,InceptionBDefinition,1615,0,0,0,141,0,24,0,24,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4.modules,InceptionV4CustomTailDefinition,95,0,0,0,21,0,7,0,7,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4.modules,InceptionCDefinition,1657,0,0,0,146,0,24,0,24,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4,UntrainedTailInceptionV4Definition,188,0,0,0,30,0,5,0,5,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4,InceptionV4Definition,185,0,0,0,33,0,7,0,7,0
neural-network-architectures,org.ml4j.nn.architectures.inception.inceptionv4,InceptionV4WithoutTailDefinition,167,0,0,0,25,0,5,0,5,0
neural-network-architectures,org.ml4j.nn.architectures.inception,InceptionModuleDefinition,3,0,0,0,1,0,1,0,1,0
neural-network-architectures,org.ml4j.nn.architectures.yolo.yolov2,YOLOv2Definition,2,1764,0,0,1,336,1,5,1,5
